,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,cleaned_message,POS,tagCounts,preprocessed_1,POS-SEQ,None,words,uppercase_word_count,punctuation_count,not_in_vocab_words,not_in_vocab_words_count
27,I'd kill to play with these guys,0.0,0.0,0.0,0.0,1.0,1.0,I would kill to play with these guys,"[('I', 'PRON'), ('would', 'AUX'), ('kill', 'VERB'), ('to', 'PART'), ('play', 'VERB'), ('with', 'ADP'), ('these', 'DET'), ('guy', 'NOUN')]","{'PRON': 1, 'AUX': 1, 'VERB': 2, 'PART': 1, 'ADP': 1, 'DET': 1, 'NOUN': 1}",kill to play guy,PRON VERB VERB NOUN,0.0,would kill play guy,1,0,,0
28,doodavoice,0.0,0.0,0.0,0.0,0.0,0.0,doodavoice,"[('doodavoice', 'NOUN')]",{'NOUN': 1},doodavoice,NOUN,1.0,doodavoice,0,0,doodavoice,1
29,Do you remember Mario 64 stream,0.0,0.0,0.0,0.0,0.0,0.0,Do you remember Mario 64 stream,"[('do', 'AUX'), ('you', 'PRON'), ('remember', 'VERB'), ('Mario', 'PROPN'), ('64', 'NUM'), ('stream', 'NOUN')]","{'AUX': 1, 'PRON': 1, 'VERB': 1, 'PROPN': 1, 'NUM': 1, 'NOUN': 1}",remember mario 64 stream,VERB PROPN NUM NOUN,1.0,remember Mario 64 stream,0,0,,0
30,Dad,0.0,0.0,0.0,0.0,0.0,0.0,Dad,"[('Dad', 'PROPN')]",{'PROPN': 1},dad,PROPN,1.0,Dad,0,0,,0
31,69 ppl nice,0.0,0.0,0.0,0.0,0.0,0.0,69 ppl nice,"[('69', 'NUM'), ('ppl', 'NOUN'), ('nice', 'ADJ')]","{'NUM': 1, 'NOUN': 1, 'ADJ': 1}",69 ppl nice,NUM NOUN ADJ,1.0,69 ppl nice,0,0,,0
32,Hi I was watching Lazars stream,0.0,0.0,0.0,0.0,0.0,0.0,Hi I was watching Lazars stream,"[('hi', 'INTJ'), ('I', 'PRON'), ('be', 'AUX'), ('watch', 'VERB'), ('Lazars', 'PROPN'), ('stream', 'NOUN')]","{'INTJ': 1, 'PRON': 1, 'AUX': 1, 'VERB': 1, 'PROPN': 1, 'NOUN': 1}",hi watch lazars stream,INTJ PRON VERB PROPN NOUN,1.0,hi watch Lazars stream,1,0,lazars,1
33,papa???,0.0,0.0,0.0,0.0,0.0,0.0,papa???,"[('papa', 'PROPN'), ('?', 'PUNCT'), ('?', 'PUNCT'), ('?', 'PUNCT')]","{'PROPN': 1, 'PUNCT': 3}",papa,PROPN,1.0,papa,0,3,,0
34,Brown,0.0,0.0,0.0,0.0,0.0,0.0,Brown,"[('Brown', 'PROPN')]",{'PROPN': 1},brown,PROPN,1.0,Brown,0,0,,0
35,Helo,0.0,0.0,0.0,0.0,0.0,0.0,Helo,"[('Helo', 'PROPN')]",{'PROPN': 1},helo,PROPN,1.0,Helo,0,0,,0
36,hi,0.0,0.0,0.0,0.0,0.0,0.0,hi,"[('hi', 'INTJ')]",{'INTJ': 1},hi,INTJ,1.0,hi,0,0,,0
37,It is not lazar,0.0,0.0,0.0,0.0,0.0,0.0,It is not lazar,"[('it', 'PRON'), ('be', 'AUX'), ('not', 'PART'), ('lazar', 'NOUN')]","{'PRON': 1, 'AUX': 1, 'PART': 1, 'NOUN': 1}",not lazar,NOUN,1.0,lazar,0,0,lazar,1
38,Gday,0.0,0.0,0.0,0.0,0.0,0.0,Gday,"[('gday', 'NOUN')]",{'NOUN': 1},gday,NOUN,1.0,gday,0,0,gday,1
39,Hi,0.0,0.0,0.0,0.0,0.0,0.0,Hi,"[('hi', 'INTJ')]",{'INTJ': 1},hi,INTJ,1.0,hi,0,0,,0
40,it's nogla,0.0,0.0,0.0,0.0,0.0,0.0,it is nogla,"[('it', 'PRON'), ('be', 'AUX'), ('nogla', 'ADJ')]","{'PRON': 1, 'AUX': 1, 'ADJ': 1}",nogla,ADJ,1.0,nogla,0,0,nogla,1
41,Nice gyro,0.0,0.0,0.0,0.0,0.0,0.0,Nice gyro,"[('nice', 'ADJ'), ('gyro', 'NOUN')]","{'ADJ': 1, 'NOUN': 1}",nice gyro,ADJ NOUN,1.0,nice gyro,0,0,,0
42,HELLO,0.0,0.0,0.0,0.0,0.0,0.0,HELLO,"[('hello', 'INTJ')]",{'INTJ': 1},hello,INTJ,1.0,hello,1,0,,0
43,Hi,0.0,0.0,0.0,0.0,0.0,0.0,Hi,"[('hi', 'INTJ')]",{'INTJ': 1},hi,INTJ,1.0,hi,0,0,,0
44,I'm jo,0.0,0.0,0.0,0.0,0.0,0.0,I am jo,"[('I', 'PRON'), ('be', 'AUX'), ('jo', 'PROPN')]","{'PRON': 1, 'AUX': 1, 'PROPN': 1}",jo,PRON PROPN,1.0,jo,1,0,,0
45,It’s not lazar,0.0,0.0,0.0,0.0,0.0,0.0,it is not lazar,"[('it', 'PRON'), ('be', 'AUX'), ('not', 'PART'), ('lazar', 'NOUN')]","{'PRON': 1, 'AUX': 1, 'PART': 1, 'NOUN': 1}",’s not lazar,NOUN,1.0,lazar,0,0,lazar,1
46,Good kill on lazar,0.0,0.0,0.0,0.0,0.0,0.0,Good kill on lazar,"[('good', 'ADJ'), ('kill', 'NOUN'), ('on', 'ADP'), ('lazar', 'NOUN')]","{'ADJ': 1, 'NOUN': 2, 'ADP': 1}",good kill lazar,ADJ NOUN NOUN,1.0,good kill lazar,0,0,lazar,1
47,Did this just start?,0.0,0.0,0.0,0.0,0.0,0.0,Did this just start?,"[('do', 'AUX'), ('this', 'DET'), ('just', 'ADV'), ('start', 'VERB'), ('?', 'PUNCT')]","{'AUX': 1, 'DET': 1, 'ADV': 1, 'VERB': 1, 'PUNCT': 1}",just start,VERB,1.0,start,0,1,,0
48,it's nogla,0.0,0.0,0.0,0.0,0.0,0.0,it is nogla,"[('it', 'PRON'), ('be', 'AUX'), ('nogla', 'ADJ')]","{'PRON': 1, 'AUX': 1, 'ADJ': 1}",nogla,ADJ,1.0,nogla,0,0,nogla,1
49,WHERE IS VANOSS,0.0,0.0,0.0,0.0,0.0,0.0,WHERE IS VANOSS,"[('where', 'ADV'), ('be', 'AUX'), ('VANOSS', 'PROPN')]","{'ADV': 1, 'AUX': 1, 'PROPN': 1}",where vanoss,PROPN,1.0,VANOSS,3,0,vanoss,1
50,Ayyo,0.0,0.0,0.0,0.0,0.0,0.0,Ayyo,"[('Ayyo', 'PROPN')]",{'PROPN': 1},ayyo,PROPN,1.0,Ayyo,0,0,ayyo,1
51,hi terroriser,0.0,0.0,0.0,0.0,0.0,0.0,hi terroriser,"[('hi', 'INTJ'), ('terroriser', 'ADV')]","{'INTJ': 1, 'ADV': 1}",hi terroriser,INTJ ADV,1.0,hi terroriser,0,0,terroriser,1
52,It is not lazar,0.0,0.0,0.0,0.0,0.0,0.0,It is not lazar,"[('it', 'PRON'), ('be', 'AUX'), ('not', 'PART'), ('lazar', 'NOUN')]","{'PRON': 1, 'AUX': 1, 'PART': 1, 'NOUN': 1}",not lazar,NOUN,1.0,lazar,0,0,lazar,1
53,its nogla,0.0,0.0,0.0,0.0,0.0,0.0,its nogla,"[('its', 'PRON'), ('nogla', 'NOUN')]","{'PRON': 1, 'NOUN': 1}",nogla,NOUN,1.0,nogla,0,0,nogla,1
54,Terirrisor is the imposter,0.0,0.0,0.0,0.0,0.0,0.0,Terirrisor is the imposter,"[('Terirrisor', 'PROPN'), ('be', 'AUX'), ('the', 'DET'), ('imposter', 'NOUN')]","{'PROPN': 1, 'AUX': 1, 'DET': 1, 'NOUN': 1}",terirrisor imposter,PROPN NOUN,1.0,Terirrisor imposter,0,0,terirrisor imposter,2
55,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Yes,"[('yes', 'INTJ')]",{'INTJ': 1},yes,INTJ,1.0,yes,0,0,,0
56,Oh HEY im the only member in chat right nbow,0.0,0.0,0.0,0.0,0.0,0.0,Oh HEY I am the only member in chat right nbow,"[('oh', 'INTJ'), ('HEY', 'PROPN'), ('I', 'PRON'), ('be', 'AUX'), ('the', 'DET'), ('only', 'ADJ'), ('member', 'NOUN'), ('in', 'ADP'), ('chat', 'NOUN'), ('right', 'ADJ'), ('nbow', 'NOUN')]","{'INTJ': 1, 'PROPN': 1, 'PRON': 1, 'AUX': 1, 'DET': 1, 'ADJ': 2, 'NOUN': 3, 'ADP': 1}",oh hey m only member chat right nbow,INTJ PROPN PRON NOUN NOUN ADJ NOUN,1.0,oh HEY member chat right nbow,1,0,nbow,1
57,hello brian,0.0,0.0,0.0,0.0,0.0,0.0,hello brian,"[('hello', 'INTJ'), ('brian', 'PROPN')]","{'INTJ': 1, 'PROPN': 1}",hello brian,INTJ PROPN,1.0,hello brian,0,0,,0
58,It’s bees knees because cray and bees knees where together,0.0,0.0,0.0,0.0,0.0,0.0,it is bees knees because cray and bees knees where together,"[('it', 'PRON'), ('be', 'AUX'), ('bee', 'NOUN'), ('knee', 'NOUN'), ('because', 'SCONJ'), ('cray', 'PROPN'), ('and', 'CCONJ'), ('bee', 'NOUN'), ('knee', 'VERB'), ('where', 'ADV'), ('together', 'ADV')]","{'PRON': 1, 'AUX': 1, 'NOUN': 3, 'SCONJ': 1, 'PROPN': 1, 'CCONJ': 1, 'VERB': 1, 'ADV': 2}",’ bee knee cray bee knee where together,NOUN NOUN PROPN NOUN VERB ADV,1.0,bee knee cray bee knee together,0,0,,0
59,Not lazar,0.0,0.0,0.0,0.0,0.0,0.0,Not lazar,"[('not', 'PART'), ('lazar', 'NOUN')]","{'PART': 1, 'NOUN': 1}",not lazar,NOUN,1.0,lazar,0,0,lazar,1
60,Lol nice games,0.0,0.0,0.0,0.0,0.0,0.0,Lol nice games,"[('Lol', 'PROPN'), ('nice', 'ADJ'), ('game', 'NOUN')]","{'PROPN': 1, 'ADJ': 1, 'NOUN': 1}",lol nice game,PROPN ADJ NOUN,1.0,Lol nice game,0,0,,0
61,It’s nogla,0.0,0.0,0.0,0.0,0.0,0.0,it is nogla,"[('it', 'PRON'), ('be', 'AUX'), ('nogla', 'ADJ')]","{'PRON': 1, 'AUX': 1, 'ADJ': 1}",’s nogla,ADJ,1.0,nogla,0,0,nogla,1
62,mmmm,0.0,0.0,0.0,0.0,0.0,0.0,mmmm,"[('mmmm', 'NOUN')]",{'NOUN': 1},mmmm,NOUN,1.0,mmmm,0,0,mmmm,1
63,I saw Nogla's and then this stream and the difference in views is depressing,0.0,0.0,0.0,0.0,0.0,0.0,I saw Nogla's and then this stream and the difference in views is depressing,"[('I', 'PRON'), ('see', 'VERB'), ('Nogla', 'PROPN'), (""'s"", 'PART'), ('and', 'CCONJ'), ('then', 'ADV'), ('this', 'DET'), ('stream', 'NOUN'), ('and', 'CCONJ'), ('the', 'DET'), ('difference', 'NOUN'), ('in', 'ADP'), ('view', 'NOUN'), ('be', 'AUX'), ('depress', 'VERB')]","{'PRON': 1, 'VERB': 2, 'PROPN': 1, 'PART': 1, 'CCONJ': 2, 'ADV': 1, 'DET': 2, 'NOUN': 3, 'ADP': 1, 'AUX': 1}",see noglas then stream difference view depress,PRON VERB PROPN PART NOUN NOUN NOUN VERB,1.0,see Nogla 's stream difference view depress,1,1,nogla,1
64,lets go my guy,0.0,0.0,0.0,0.0,0.0,0.0,let us go my guy,"[('let', 'VERB'), ('we', 'PRON'), ('go', 'VERB'), ('my', 'PRON'), ('guy', 'NOUN')]","{'VERB': 2, 'PRON': 2, 'NOUN': 1}",let go guy,VERB VERB NOUN,1.0,let go guy,0,0,,0
65,I’m new lol,0.0,0.0,0.0,0.0,0.0,0.0,I am new lol,"[('I', 'PRON'), ('be', 'AUX'), ('new', 'ADJ'), ('lol', 'NOUN')]","{'PRON': 1, 'AUX': 1, 'ADJ': 1, 'NOUN': 1}",’m new lol,PRON ADJ NOUN,1.0,new lol,1,0,,0
66,Nogla,0.0,0.0,0.0,0.0,0.0,0.0,Nogla,"[('Nogla', 'PROPN')]",{'PROPN': 1},nogla,PROPN,1.0,Nogla,0,0,nogla,1
67,Super Mario 64 was fun,0.0,0.0,0.0,0.0,0.0,0.0,Super Mario 64 was fun,"[('Super', 'PROPN'), ('Mario', 'PROPN'), ('64', 'NUM'), ('be', 'AUX'), ('fun', 'ADJ')]","{'PROPN': 2, 'NUM': 1, 'AUX': 1, 'ADJ': 1}",super mario 64 fun,PROPN PROPN NUM ADJ,1.0,Super Mario 64 fun,0,0,,0
68,Whats gooood,0.0,0.0,0.0,0.0,0.0,0.0,what is gooood,"[('what', 'PRON'), ('be', 'AUX'), ('gooood', 'NOUN')]","{'PRON': 1, 'AUX': 1, 'NOUN': 1}",s gooood,NOUN,1.0,gooood,0,0,gooood,1
69,Brian💪🏾,0.0,0.0,0.0,0.0,0.0,0.0,Brian💪🏾,"[('brian', 'ADJ'), ('💪🏾', 'EMOJI')]","{'ADJ': 1, 'EMOJI': 1}",brian 💪 🏾,ADJ EMOJI,1.0,brian,0,0,,0
70,hey hunnyyy,0.0,0.0,0.0,0.0,0.0,0.0,hey hunnyyy,"[('hey', 'INTJ'), ('hunnyyy', 'NOUN')]","{'INTJ': 1, 'NOUN': 1}",hey hunnyyy,INTJ NOUN,1.0,hey hunnyyy,0,0,hunnyyy,1
71,its terroriser,0.0,0.0,0.0,0.0,0.0,0.0,its terroriser,"[('its', 'PRON'), ('terroris', 'ADJ')]","{'PRON': 1, 'ADJ': 1}",terroris,ADJ,1.0,terroris,0,0,terroris,1
72,play till 3,0.0,0.0,0.0,0.0,0.0,0.0,play till 3,"[('play', 'NOUN'), ('till', 'SCONJ'), ('3', 'NUM')]","{'NOUN': 1, 'SCONJ': 1, 'NUM': 1}",play 3,NOUN NUM,1.0,play till 3,0,0,,0
73,imagine he puts the chat in members only and i end up all by myself 😆,0.0,0.0,0.0,0.0,0.0,0.0,imagine he puts the chat in members only and i end up all by myself 😆,"[('imagine', 'VERB'), ('he', 'PRON'), ('put', 'VERB'), ('the', 'DET'), ('chat', 'NOUN'), ('in', 'ADP'), ('member', 'NOUN'), ('only', 'ADV'), ('and', 'CCONJ'), ('I', 'PRON'), ('end', 'VERB'), ('up', 'ADP'), ('all', 'DET'), ('by', 'ADP'), ('myself', 'PRON'), ('😆', 'EMOJI')]","{'VERB': 3, 'PRON': 3, 'DET': 2, 'NOUN': 2, 'ADP': 3, 'ADV': 1, 'CCONJ': 1, 'EMOJI': 1}",imagine put chat member only end 😆,VERB VERB NOUN NOUN PRON VERB EMOJI,1.0,imagine put chat member end,0,0,,0
74,Big up Irishmen,0.0,0.0,0.0,0.0,0.0,0.0,Big up Irishmen,"[('big', 'ADJ'), ('up', 'ADP'), ('Irishmen', 'PROPN')]","{'ADJ': 1, 'ADP': 1, 'PROPN': 1}",big irishmen,ADJ PROPN,1.0,big Irishmen,0,0,,0
75,Wait it is terrorizer,0.0,0.0,0.0,0.0,0.0,0.0,Wait it is terrorizer,"[('wait', 'VERB'), ('it', 'PRON'), ('be', 'AUX'), ('terrorizer', 'NOUN')]","{'VERB': 1, 'PRON': 1, 'AUX': 1, 'NOUN': 1}",wait terrorizer,VERB NOUN,1.0,wait terrorizer,0,0,terrorizer,1
76,Hi,0.0,0.0,0.0,0.0,0.0,0.0,Hi,"[('hi', 'INTJ')]",{'INTJ': 1},hi,INTJ,1.0,hi,0,0,,0
77,hi,0.0,0.0,0.0,0.0,0.0,0.0,hi,"[('hi', 'INTJ')]",{'INTJ': 1},hi,INTJ,1.0,hi,0,0,,0
78,Lightning no one cares,1.0,0.0,0.0,0.0,0.0,0.0,Lightning no one cares,"[('lightning', 'NOUN'), ('no', 'DET'), ('one', 'NOUN'), ('care', 'VERB')]","{'NOUN': 2, 'DET': 1, 'VERB': 1}",lightning one care,NOUN NOUN VERB,0.0,lightning one care,0,0,,0
79,I know it’s an among us stream but how many stars are you sitting at in Super Mario 64 if you remember?,0.0,0.0,0.0,0.0,0.0,0.0,I know it is an among us stream but how many stars are you sitting at in Super Mario 64 if you remember?,"[('I', 'PRON'), ('know', 'VERB'), ('it', 'PRON'), ('be', 'AUX'), ('an', 'DET'), ('among', 'ADP'), ('we', 'PRON'), ('stream', 'NOUN'), ('but', 'CCONJ'), ('how', 'ADV'), ('many', 'ADJ'), ('star', 'NOUN'), ('be', 'AUX'), ('you', 'PRON'), ('sit', 'VERB'), ('at', 'ADP'), ('in', 'ADP'), ('Super', 'PROPN'), ('Mario', 'PROPN'), ('64', 'NUM'), ('if', 'SCONJ'), ('you', 'PRON'), ('remember', 'VERB'), ('?', 'PUNCT')]","{'PRON': 5, 'VERB': 3, 'AUX': 2, 'DET': 1, 'ADP': 3, 'NOUN': 2, 'CCONJ': 1, 'ADV': 1, 'ADJ': 1, 'PROPN': 2, 'NUM': 1, 'SCONJ': 1, 'PUNCT': 1}",know ’s stream how many star sit super mario 64 remember,PRON VERB ADP NOUN ADJ NOUN VERB PROPN PROPN NUM VERB,1.0,know among stream many star sit Super Mario 64 remember,1,1,,0
80,its either terrorizer or Cray,0.0,0.0,0.0,0.0,0.0,0.0,its either terrorizer or Cray,"[('its', 'PRON'), ('either', 'CCONJ'), ('terrorizer', 'NOUN'), ('or', 'CCONJ'), ('Cray', 'PROPN')]","{'PRON': 1, 'CCONJ': 2, 'NOUN': 1, 'PROPN': 1}",terrorizer cray,NOUN PROPN,1.0,either terrorizer Cray,0,0,terrorizer,1
81,no need to be Toxic JC,0.0,0.0,0.0,0.0,0.0,0.0,no need to be Toxic JC,"[('no', 'DET'), ('need', 'NOUN'), ('to', 'PART'), ('be', 'VERB'), ('Toxic', 'PROPN'), ('JC', 'PROPN')]","{'DET': 1, 'NOUN': 1, 'PART': 1, 'VERB': 1, 'PROPN': 2}",need to be toxic jc,NOUN PROPN PROPN,1.0,need Toxic JC,1,0,,0
82,Yay,0.0,0.0,0.0,0.0,0.0,0.0,Yay,"[('yay', 'NOUN')]",{'NOUN': 1},yay,NOUN,1.0,yay,0,0,,0
83,Its lannan,0.0,0.0,0.0,0.0,0.0,0.0,Its lannan,"[('its', 'PRON'), ('lannan', 'NOUN')]","{'PRON': 1, 'NOUN': 1}",lannan,NOUN,1.0,lannan,0,0,lannan,1
84,Woah jc674 sus,0.0,0.0,0.0,0.0,0.0,0.0,Woah jc674 sus,"[('woah', 'INTJ'), ('jc674', 'X'), ('sus', 'NOUN')]","{'INTJ': 1, 'X': 1, 'NOUN': 1}",woah jc674 sus,INTJ X NOUN,1.0,woah jc674 sus,0,0,woah jc674,2
85,hi,0.0,0.0,0.0,0.0,0.0,0.0,hi,"[('hi', 'INTJ')]",{'INTJ': 1},hi,INTJ,1.0,hi,0,0,,0
86,😂👌,0.0,0.0,0.0,0.0,0.0,0.0,😂👌,"[('😂', 'EMOJI'), ('👌', 'EMOJI')]",{'EMOJI': 2},😂 👌,EMOJI EMOJI,1.0,,0,0,,0
87,owww it's 5 in the morning,0.0,0.0,0.0,0.0,0.0,0.0,owww it is 5 in the morning,"[('owww', 'PROPN'), ('it', 'PRON'), ('be', 'AUX'), ('5', 'NUM'), ('in', 'ADP'), ('the', 'DET'), ('morning', 'NOUN')]","{'PROPN': 1, 'PRON': 1, 'AUX': 1, 'NUM': 1, 'ADP': 1, 'DET': 1, 'NOUN': 1}",owww 5 morning,PROPN NUM NOUN,1.0,owww 5 morning,0,0,owww,1
88,dont be switching between streams ;/ dont say whp is,0.0,0.0,0.0,0.0,0.0,0.0,do not be switching between streams ;/ do not say whp is,"[('do', 'AUX'), ('not', 'PART'), ('be', 'AUX'), ('switch', 'VERB'), ('between', 'ADP'), ('stream', 'NOUN'), (';', 'PUNCT'), ('/', 'SYM'), ('do', 'AUX'), ('not', 'PART'), ('say', 'VERB'), ('whp', 'PROPN'), ('be', 'AUX')]","{'AUX': 4, 'PART': 2, 'VERB': 2, 'ADP': 1, 'NOUN': 1, 'PUNCT': 1, 'SYM': 1, 'PROPN': 1}",switch stream nt say whp,VERB NOUN VERB PROPN,1.0,switch stream say whp,0,2,whp,1
89,Hi,0.0,0.0,0.0,0.0,0.0,0.0,Hi,"[('hi', 'INTJ')]",{'INTJ': 1},hi,INTJ,1.0,hi,0,0,,0
90,Toxic,0.0,0.0,0.0,0.0,0.0,0.0,Toxic,"[('Toxic', 'PROPN')]",{'PROPN': 1},toxic,PROPN,1.0,Toxic,0,0,,0
91,is that preston plays the minecraft guy,0.0,0.0,0.0,0.0,0.0,0.0,is that preston plays the minecraft guy,"[('be', 'AUX'), ('that', 'SCONJ'), ('preston', 'PROPN'), ('play', 'VERB'), ('the', 'DET'), ('minecraft', 'NOUN'), ('guy', 'NOUN')]","{'AUX': 1, 'SCONJ': 1, 'PROPN': 1, 'VERB': 1, 'DET': 1, 'NOUN': 2}",preston play minecraft guy,PROPN VERB NOUN NOUN,1.0,preston play minecraft guy,0,0,minecraft,1
92,no spoilers,0.0,0.0,0.0,0.0,0.0,0.0,no spoilers,"[('no', 'DET'), ('spoiler', 'NOUN')]","{'DET': 1, 'NOUN': 1}",spoiler,NOUN,1.0,spoiler,0,0,,0
93,i havent heard of him in years,0.0,0.0,0.0,0.0,0.0,0.0,i have not heard of him in years,"[('I', 'PRON'), ('have', 'AUX'), ('not', 'PART'), ('hear', 'VERB'), ('of', 'ADP'), ('he', 'PRON'), ('in', 'ADP'), ('year', 'NOUN')]","{'PRON': 2, 'AUX': 1, 'PART': 1, 'VERB': 1, 'ADP': 2, 'NOUN': 1}",nt hear year,PRON VERB NOUN,1.0,hear year,0,0,,0
