,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,cleaned_message,POS,tagCounts,preprocessed_1,POS-SEQ,None,words,uppercase_word_count,punctuation_count,not_in_vocab_words
15,fox is MSM now!!!,0.0,0.0,0.0,0.0,0.0,0.0,fox is MSM now!!!,"[('fox', 'PROPN'), ('be', 'AUX'), ('MSM', 'PROPN'), ('now', 'ADV'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT')]","{'PROPN': 2, 'AUX': 1, 'ADV': 1, 'PUNCT': 3}",fox msm now,PROPN PROPN,1.0,fox MSM,1,3,msm
16,FRAUDULENT,1.0,0.0,0.0,0.0,0.0,0.0,FRAUDULENT,"[('fraudulent', 'ADJ')]",{'ADJ': 1},fraudulent,ADJ,0.0,fraudulent,1,0,
17,if it's unfounded let them check the machines,0.0,0.0,0.0,0.0,0.0,0.0,if it is unfounded let them check the machines,"[('if', 'SCONJ'), ('it', 'PRON'), ('be', 'VERB'), ('unfounded', 'ADJ'), ('let', 'VERB'), ('they', 'PRON'), ('check', 'VERB'), ('the', 'DET'), ('machine', 'NOUN')]","{'SCONJ': 1, 'PRON': 2, 'VERB': 3, 'ADJ': 1, 'DET': 1, 'NOUN': 1}",be unfounded let check machine,ADJ VERB VERB NOUN,1.0,unfounded let check machine,0,0,
18,God Bless president elect Biden,0.0,0.0,0.0,0.0,0.0,0.0,God Bless president elect Biden,"[('God', 'PROPN'), ('Bless', 'PROPN'), ('president', 'NOUN'), ('elect', 'VERB'), ('Biden', 'PROPN')]","{'PROPN': 3, 'NOUN': 1, 'VERB': 1}",god bless president elect biden,PROPN PROPN NOUN VERB PROPN,1.0,God Bless president elect Biden,0,0,
19,More going to jail,1.0,0.0,0.0,1.0,0.0,0.0,More going to jail,"[('More', 'ADJ'), ('go', 'VERB'), ('to', 'ADP'), ('jail', 'NOUN')]","{'ADJ': 1, 'VERB': 1, 'ADP': 1, 'NOUN': 1}",more go jail,ADJ VERB NOUN,0.0,go jail,0,0,
20,Good bye freedom and truth,0.0,0.0,0.0,0.0,0.0,0.0,Good bye freedom and truth,"[('good', 'ADJ'), ('bye', 'INTJ'), ('freedom', 'NOUN'), ('and', 'CCONJ'), ('truth', 'NOUN')]","{'ADJ': 1, 'INTJ': 1, 'NOUN': 2, 'CCONJ': 1}",good bye freedom truth,ADJ INTJ NOUN NOUN,1.0,good bye freedom truth,0,0,
21,✝️GOD BLESS PRESIDENT BIDEN ✝️,0.0,0.0,0.0,0.0,0.0,0.0,✝️GOD BLESS PRESIDENT BIDEN ✝️,"[('✝', 'EMOJI'), ('️god', 'NOUN'), ('BLESS', 'PROPN'), ('PRESIDENT', 'PROPN'), ('BIDEN', 'VERB'), ('✝️', 'EMOJI')]","{'EMOJI': 2, 'NOUN': 1, 'PROPN': 2, 'VERB': 1}",✝ ️god bless president biden ✝ ️,EMOJI NOUN PROPN PROPN VERB EMOJI,1.0,️god BLESS PRESIDENT BIDEN,4,0,️god
22,“But the states haven’t certified yet wahhh” 😂😂😂😂😂,0.0,0.0,0.0,0.0,0.0,0.0,“But the states have not certified yet wahhh” 😂😂😂😂😂,"[('""', 'PUNCT'), ('but', 'CCONJ'), ('the', 'DET'), ('state', 'NOUN'), ('have', 'AUX'), ('not', 'PART'), ('certify', 'VERB'), ('yet', 'ADV'), ('wahhh', 'ADJ'), ('""', 'PUNCT'), ('😂', 'EMOJI'), ('😂', 'EMOJI'), ('😂', 'EMOJI'), ('😂', 'EMOJI'), ('😂', 'EMOJI')]","{'PUNCT': 2, 'CCONJ': 1, 'DET': 1, 'NOUN': 1, 'AUX': 1, 'PART': 1, 'VERB': 1, 'ADV': 1, 'ADJ': 1, 'EMOJI': 5}",state n’t certify yet wahhh 😂 😂 😂 😂 😂,NOUN VERB ADV ADJ EMOJI EMOJI EMOJI EMOJI EMOJI,1.0,state certify yet wahhh,0,0,wahhh
23,Didn’t Arizona give sharpies to trump supporters?,0.0,0.0,0.0,0.0,0.0,0.0,did not Arizona give sharpies to trump supporters?,"[('do', 'AUX'), ('not', 'PART'), ('Arizona', 'PROPN'), ('give', 'VERB'), ('sharpie', 'NOUN'), ('to', 'PART'), ('trump', 'VERB'), ('supporter', 'NOUN'), ('?', 'PUNCT')]","{'AUX': 1, 'PART': 2, 'PROPN': 1, 'VERB': 2, 'NOUN': 2, 'PUNCT': 1}",n’t arizona give sharpie to trump supporter,PROPN VERB NOUN VERB NOUN,1.0,Arizona give sharpie trump supporter,0,1,sharpie
24,bye bye Trump.. thanks for a great 4 years... when people voted you in 4 years ago.. they were disgusted by the lying hypocrisy filled 'elected officials' which is PRECISELY why you were voted in.,1.0,0.0,0.0,1.0,0.0,0.0,bye bye Trump.. thanks for a great 4 years... when people voted you in 4 years ago.. they were disgusted by the lying hypocrisy filled 'elected officials' which is PRECISELY why you were voted in.,"[('bye', 'INTJ'), ('bye', 'INTJ'), ('Trump', 'PROPN'), ('..', 'PUNCT'), ('thank', 'NOUN'), ('for', 'ADP'), ('a', 'DET'), ('great', 'ADJ'), ('4', 'NUM'), ('year', 'NOUN'), ('...', 'PUNCT'), ('when', 'ADV'), ('people', 'NOUN'), ('vote', 'VERB'), ('you', 'PRON'), ('in', 'ADP'), ('4', 'NUM'), ('year', 'NOUN'), ('ago', 'ADV'), ('..', 'PUNCT'), ('they', 'PRON'), ('be', 'AUX'), ('disgust', 'VERB'), ('by', 'ADP'), ('the', 'DET'), ('lie', 'VERB'), ('hypocrisy', 'NOUN'), ('fill', 'VERB'), (""'"", 'PUNCT'), ('elect', 'VERB'), ('official', 'NOUN'), (""'"", 'PART'), ('which', 'DET'), ('be', 'VERB'), ('PRECISELY', 'PROPN'), ('why', 'ADV'), ('you', 'PRON'), ('be', 'AUX'), ('vote', 'VERB'), ('in', 'ADP'), ('.', 'PUNCT')]","{'INTJ': 2, 'PROPN': 2, 'PUNCT': 5, 'NOUN': 6, 'ADP': 4, 'DET': 3, 'ADJ': 1, 'NUM': 2, 'ADV': 3, 'VERB': 7, 'PRON': 3, 'AUX': 2, 'PART': 1}",bye bye trump .. thank great 4 year ... when people vote 4 year ago .. disgust lie hypocrisy fill elect official be precisely why vote,INTJ INTJ PROPN NOUN ADJ NUM NOUN NOUN VERB NUM NOUN ADV VERB VERB NOUN VERB VERB NOUN PART PROPN VERB,0.0,bye bye Trump .. thank great 4 year ... people vote 4 year ago .. disgust lie hypocrisy fill elect official PRECISELY vote,1,8,
25,fox is a sell out cover all news you sell outs,0.0,0.0,0.0,1.0,0.0,0.0,fox is a sell out cover all news you sell outs,"[('fox', 'PROPN'), ('be', 'AUX'), ('a', 'DET'), ('sell', 'NOUN'), ('out', 'ADP'), ('cover', 'VERB'), ('all', 'DET'), ('news', 'NOUN'), ('you', 'PRON'), ('sell', 'VERB'), ('out', 'NOUN')]","{'PROPN': 1, 'AUX': 1, 'DET': 2, 'NOUN': 3, 'ADP': 1, 'VERB': 2, 'PRON': 1}",fox sell cover news sell out,PROPN NOUN VERB NOUN VERB,0.0,fox sell cover news sell,0,0,
26,people's masks not over their noses - this is so stupid and pretend!,1.0,0.0,0.0,0.0,0.0,0.0,people's masks not over their noses - this is so stupid and pretend!,"[('people', 'NOUN'), (""'s"", 'PART'), ('mask', 'NOUN'), ('not', 'PART'), ('over', 'ADP'), ('their', 'PRON'), ('nose', 'NOUN'), ('-', 'PUNCT'), ('this', 'DET'), ('be', 'AUX'), ('so', 'ADV'), ('stupid', 'ADJ'), ('and', 'CCONJ'), ('pretend', 'VERB'), ('!', 'PUNCT')]","{'NOUN': 3, 'PART': 2, 'ADP': 1, 'PRON': 1, 'PUNCT': 2, 'DET': 1, 'AUX': 1, 'ADV': 1, 'ADJ': 1, 'CCONJ': 1, 'VERB': 1}",people mask not nose so stupid pretend,NOUN PART NOUN NOUN ADJ VERB,0.0,people 's mask nose stupid pretend,0,2,
27,The left wants war. That’s what they will get.,0.0,1.0,0.0,0.0,0.0,0.0,The left wants war. that is what they will get.,"[('the', 'DET'), ('left', 'NOUN'), ('want', 'VERB'), ('war', 'NOUN'), ('.', 'PUNCT'), ('that', 'DET'), ('be', 'AUX'), ('what', 'PRON'), ('they', 'PRON'), ('will', 'AUX'), ('get', 'VERB'), ('.', 'PUNCT')]","{'DET': 2, 'NOUN': 2, 'VERB': 2, 'PUNCT': 2, 'AUX': 2, 'PRON': 2}",left want war ’s get,NOUN VERB NOUN VERB,0.0,left want war get,0,2,
28,Shame on you Fox News for denying the truth.,0.0,0.0,0.0,1.0,0.0,0.0,Shame on you Fox News for denying the truth.,"[('shame', 'NOUN'), ('on', 'ADP'), ('you', 'PRON'), ('Fox', 'PROPN'), ('News', 'PROPN'), ('for', 'ADP'), ('deny', 'VERB'), ('the', 'DET'), ('truth', 'NOUN'), ('.', 'PUNCT')]","{'NOUN': 2, 'ADP': 2, 'PRON': 1, 'PROPN': 2, 'VERB': 1, 'DET': 1, 'PUNCT': 1}",shame fox news deny truth,NOUN PROPN PROPN VERB NOUN,0.0,shame Fox News deny truth,0,1,
29,TRUMP LOST TRUMP LOST,0.0,0.0,0.0,0.0,0.0,0.0,TRUMP LOST TRUMP LOST,"[('TRUMP', 'PROPN'), ('LOST', 'PROPN'), ('TRUMP', 'PROPN'), ('LOST', 'PROPN')]",{'PROPN': 4},trump lost trump lost,PROPN PROPN PROPN PROPN,1.0,TRUMP LOST TRUMP LOST,4,0,
30,"Hey FOX where is the people, this would be the live event of the Arizona State Legislature.",0.0,0.0,0.0,0.0,0.0,0.0,"Hey FOX where is the people, this would be the live event of the Arizona State Legislature.","[('hey', 'INTJ'), ('FOX', 'PROPN'), ('where', 'ADV'), ('be', 'VERB'), ('the', 'DET'), ('people', 'NOUN'), (',', 'PUNCT'), ('this', 'DET'), ('would', 'AUX'), ('be', 'VERB'), ('the', 'DET'), ('live', 'ADJ'), ('event', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('Arizona', 'PROPN'), ('State', 'PROPN'), ('Legislature', 'PROPN'), ('.', 'PUNCT')]","{'INTJ': 1, 'PROPN': 4, 'ADV': 1, 'VERB': 2, 'DET': 4, 'NOUN': 2, 'PUNCT': 2, 'AUX': 1, 'ADJ': 1, 'ADP': 1}",hey fox where be people be live event arizona state legislature,INTJ PROPN NOUN ADJ NOUN PROPN PROPN PROPN,1.0,hey FOX people would live event Arizona State Legislature,1,2,
31,BIDEN 2020,0.0,0.0,0.0,0.0,0.0,0.0,BIDEN 2020,"[('BIDEN', 'NOUN'), ('2020', 'NUM')]","{'NOUN': 1, 'NUM': 1}",biden 2020,NOUN NUM,1.0,BIDEN 2020,1,0,
32,the right wants a wat,0.0,1.0,0.0,0.0,0.0,0.0,the right wants a wat,"[('the', 'DET'), ('right', 'NOUN'), ('want', 'VERB'), ('a', 'DET'), ('wat', 'NOUN')]","{'DET': 2, 'NOUN': 2, 'VERB': 1}",right want wat,NOUN VERB NOUN,0.0,right want wat,0,0,
33,"Thiefs, thiefs, thiefs...",1.0,0.0,0.0,0.0,0.0,0.0,"Thiefs, thiefs, thiefs...","[('thief', 'NOUN'), (',', 'PUNCT'), ('thief', 'NOUN'), (',', 'PUNCT'), ('thief', 'NOUN'), ('...', 'PUNCT')]","{'NOUN': 3, 'PUNCT': 3}",thief thief thief ...,NOUN NOUN NOUN,0.0,thief thief thief ...,0,5,
34,Y’all trump supporters sum else,1.0,0.0,0.0,0.0,0.0,0.0,you all trump supporters sum else,"[('you', 'PRON'), ('all', 'DET'), ('trump', 'NOUN'), ('supporter', 'NOUN'), ('sum', 'VERB'), ('else', 'ADV')]","{'PRON': 1, 'DET': 1, 'NOUN': 2, 'VERB': 1, 'ADV': 1}",y’all trump supporter sum else,NOUN NOUN VERB ADV,0.0,trump supporter sum else,1,0,
35,The left is garbage,1.0,1.0,0.0,0.0,0.0,0.0,The left is garbage,"[('the', 'DET'), ('left', 'NOUN'), ('be', 'AUX'), ('garbage', 'NOUN')]","{'DET': 1, 'NOUN': 2, 'AUX': 1}",left garbage,NOUN NOUN,0.0,left garbage,0,0,
36,FOX/CNN/RT/BBC all on the same team,0.0,0.0,0.0,0.0,0.0,0.0,FOX/CNN/RT/BBC all on the same team,"[('FOX', 'PROPN'), ('/', 'SYM'), ('CNN', 'PROPN'), ('/', 'SYM'), ('RT', 'PROPN'), ('/', 'SYM'), ('BBC', 'PROPN'), ('all', 'DET'), ('on', 'ADP'), ('the', 'DET'), ('same', 'ADJ'), ('team', 'NOUN')]","{'PROPN': 4, 'SYM': 3, 'DET': 2, 'ADP': 1, 'ADJ': 1, 'NOUN': 1}",fox cnn rt bbc same team,PROPN PROPN PROPN PROPN NOUN,1.0,FOX CNN RT BBC team,4,3,
37,Can’t be fair when you separate ballots from their envelopes instead of keeping them together for traceability. This is a joke and we all know it,0.0,0.0,0.0,0.0,0.0,0.0,can not be fair when you separate ballots from their envelopes instead of keeping them together for traceability. This is a joke and we all know it,"[('can', 'AUX'), ('not', 'PART'), ('be', 'VERB'), ('fair', 'ADJ'), ('when', 'ADV'), ('you', 'PRON'), ('separate', 'VERB'), ('ballot', 'NOUN'), ('from', 'ADP'), ('their', 'PRON'), ('envelope', 'NOUN'), ('instead', 'ADV'), ('of', 'ADP'), ('keep', 'VERB'), ('they', 'PRON'), ('together', 'ADV'), ('for', 'ADP'), ('traceability', 'NOUN'), ('.', 'PUNCT'), ('this', 'DET'), ('be', 'AUX'), ('a', 'DET'), ('joke', 'NOUN'), ('and', 'CCONJ'), ('we', 'PRON'), ('all', 'DET'), ('know', 'VERB'), ('it', 'PRON')]","{'AUX': 2, 'PART': 1, 'VERB': 4, 'ADJ': 1, 'ADV': 3, 'PRON': 5, 'NOUN': 4, 'ADP': 3, 'PUNCT': 1, 'DET': 3, 'CCONJ': 1}",n’t be fair when separate ballot envelope instead keep together traceability joke know,ADJ VERB NOUN NOUN ADV VERB ADV NOUN NOUN VERB,1.0,fair separate ballot envelope instead keep together traceability joke know,0,1,traceability
38,hahaha hahaha hahaha,0.0,0.0,0.0,0.0,0.0,0.0,hahaha hahaha hahaha,"[('hahaha', 'PROPN'), ('hahaha', 'PROPN'), ('hahaha', 'PROPN')]",{'PROPN': 3},hahaha hahaha hahaha,PROPN PROPN PROPN,1.0,hahaha hahaha hahaha,0,0,hahaha hahaha hahaha
39,PRESIDENT BIDEN!!!!!!!,0.0,0.0,0.0,0.0,0.0,0.0,PRESIDENT BIDEN!!!!!!!,"[('PRESIDENT', 'PROPN'), ('BIDEN', 'NOUN'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT')]","{'PROPN': 1, 'NOUN': 1, 'PUNCT': 7}",president biden,PROPN NOUN,1.0,PRESIDENT BIDEN,2,7,
40,MAGAT meltdown in progress,1.0,0.0,0.0,0.0,0.0,0.0,MAGAT meltdown in progress,"[('MAGAT', 'PROPN'), ('meltdown', 'NOUN'), ('in', 'ADP'), ('progress', 'NOUN')]","{'PROPN': 1, 'NOUN': 2, 'ADP': 1}",magat meltdown progress,PROPN NOUN NOUN,0.0,MAGAT meltdown progress,1,0,magat
41,TRUMP TURMP TURMP,0.0,0.0,0.0,0.0,0.0,0.0,TRUMP TURMP TURMP,"[('TRUMP', 'PROPN'), ('TURMP', 'PROPN'), ('TURMP', 'PROPN')]",{'PROPN': 3},trump turmp turmp,PROPN PROPN PROPN,1.0,TRUMP TURMP TURMP,3,0,turmp turmp
42,fradulent election,1.0,0.0,0.0,0.0,0.0,0.0,fradulent election,"[('fradulent', 'ADJ'), ('election', 'NOUN')]","{'ADJ': 1, 'NOUN': 1}",fradulent election,ADJ NOUN,0.0,fradulent election,0,0,fradulent
43,1776 SHALL COMMENCE AGAIN,0.0,0.0,0.0,0.0,0.0,0.0,1776 SHALL COMMENCE AGAIN,"[('1776', 'NUM'), ('SHALL', 'VERB'), ('commence', 'NOUN'), ('again', 'ADV')]","{'NUM': 1, 'VERB': 1, 'NOUN': 1, 'ADV': 1}",1776 shall commence again,NUM VERB NOUN,1.0,1776 SHALL commence,3,0,1776 commence
44,rigged election,0.0,0.0,0.0,0.0,0.0,0.0,rigged election,"[('rig', 'VERB'), ('election', 'NOUN')]","{'VERB': 1, 'NOUN': 1}",rig election,VERB NOUN,1.0,rig election,0,0,
45,@khavy vath Yup,0.0,0.0,0.0,0.0,0.0,0.0,@khavy vath Yup,"[('@khavy', 'PROPN'), ('vath', 'NOUN'), ('Yup', 'PROPN')]","{'PROPN': 2, 'NOUN': 1}",@khavy vath yup,PROPN NOUN PROPN,1.0,@khavy vath Yup,0,1,@khavy vath
46,Left vs right paradigm is for the birds.,0.0,0.0,0.0,0.0,0.0,0.0,Left vs right paradigm is for the birds.,"[('leave', 'VERB'), ('vs', 'ADP'), ('right', 'ADJ'), ('paradigm', 'NOUN'), ('be', 'AUX'), ('for', 'ADP'), ('the', 'DET'), ('bird', 'NOUN'), ('.', 'PUNCT')]","{'VERB': 1, 'ADP': 2, 'ADJ': 1, 'NOUN': 2, 'AUX': 1, 'DET': 1, 'PUNCT': 1}",leave right paradigm bird,VERB ADP ADJ NOUN NOUN,1.0,leave vs right paradigm bird,0,1,
47,Stop the steal,0.0,0.0,0.0,0.0,0.0,0.0,Stop the steal,"[('stop', 'VERB'), ('the', 'DET'), ('steal', 'NOUN')]","{'VERB': 1, 'DET': 1, 'NOUN': 1}",stop steal,VERB NOUN,1.0,stop steal,0,0,
48,💙💙💙💙💙💙💙,0.0,0.0,0.0,0.0,0.0,0.0,💙💙💙💙💙💙💙,"[('💙', 'EMOJI'), ('💙', 'EMOJI'), ('💙', 'EMOJI'), ('💙', 'EMOJI'), ('💙', 'EMOJI'), ('💙', 'EMOJI'), ('💙', 'EMOJI')]",{'EMOJI': 7},💙 💙 💙 💙 💙 💙 💙,EMOJI EMOJI EMOJI EMOJI EMOJI EMOJI EMOJI,1.0,,0,0,
49,Blue Wave LMAO. hardly,0.0,0.0,0.0,0.0,0.0,0.0,Blue Wave LMAO. hardly,"[('Blue', 'PROPN'), ('Wave', 'PROPN'), ('LMAO', 'PROPN'), ('.', 'PUNCT'), ('hardly', 'ADV')]","{'PROPN': 3, 'PUNCT': 1, 'ADV': 1}",blue wave lmao hardly,PROPN PROPN PROPN ADV,1.0,Blue Wave LMAO hardly,1,1,lmao
50,Guantanamo,0.0,0.0,0.0,0.0,0.0,0.0,Guantanamo,"[('Guantanamo', 'PROPN')]",{'PROPN': 1},guantanamo,PROPN,1.0,Guantanamo,0,0,
51,search rsbc Arizona to find the real meeting,0.0,0.0,0.0,0.0,0.0,0.0,search rsbc Arizona to find the real meeting,"[('search', 'NOUN'), ('rsbc', 'NOUN'), ('Arizona', 'PROPN'), ('to', 'PART'), ('find', 'VERB'), ('the', 'DET'), ('real', 'ADJ'), ('meeting', 'NOUN')]","{'NOUN': 3, 'PROPN': 1, 'PART': 1, 'VERB': 1, 'DET': 1, 'ADJ': 1}",search rsbc arizona to find real meeting,NOUN NOUN PROPN VERB ADJ NOUN,1.0,search rsbc Arizona find real meeting,0,0,rsbc
52,You can’t arrest the thief until he leaves the store!,0.0,0.0,0.0,1.0,0.0,0.0,You can not arrest the thief until he leaves the store!,"[('you', 'PRON'), ('can', 'AUX'), ('not', 'PART'), ('arrest', 'VERB'), ('the', 'DET'), ('thief', 'NOUN'), ('until', 'ADP'), ('he', 'PRON'), ('leave', 'VERB'), ('the', 'DET'), ('store', 'NOUN'), ('!', 'PUNCT')]","{'PRON': 2, 'AUX': 1, 'PART': 1, 'VERB': 2, 'DET': 2, 'NOUN': 2, 'ADP': 1, 'PUNCT': 1}",n’t arrest thief leave store,VERB NOUN VERB NOUN,0.0,arrest thief leave store,0,1,
53,most secure lol,0.0,0.0,0.0,0.0,0.0,0.0,most secure lol,"[('most', 'ADV'), ('secure', 'ADJ'), ('lol', 'NOUN')]","{'ADV': 1, 'ADJ': 1, 'NOUN': 1}",most secure lol,ADJ NOUN,1.0,secure lol,0,0,
54,It is time for Trump to stop lying about the election.,1.0,0.0,0.0,0.0,0.0,0.0,It is time for Trump to stop lying about the election.,"[('it', 'PRON'), ('be', 'AUX'), ('time', 'NOUN'), ('for', 'ADP'), ('Trump', 'PROPN'), ('to', 'PART'), ('stop', 'VERB'), ('lie', 'VERB'), ('about', 'ADP'), ('the', 'DET'), ('election', 'NOUN'), ('.', 'PUNCT')]","{'PRON': 1, 'AUX': 1, 'NOUN': 2, 'ADP': 2, 'PROPN': 1, 'PART': 1, 'VERB': 2, 'DET': 1, 'PUNCT': 1}",time trump to stop lie election,NOUN PROPN VERB VERB NOUN,0.0,time Trump stop lie election,0,1,
55,lies,0.0,0.0,0.0,0.0,0.0,0.0,lies,"[('lie', 'VERB')]",{'VERB': 1},lie,VERB,1.0,lie,0,0,
56,Canada for TRUMP!!!!,0.0,0.0,0.0,0.0,0.0,0.0,Canada for TRUMP!!!!,"[('Canada', 'PROPN'), ('for', 'ADP'), ('TRUMP', 'PROPN'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT')]","{'PROPN': 2, 'ADP': 1, 'PUNCT': 4}",canada trump,PROPN PROPN,1.0,Canada TRUMP,1,4,
57,Trump won!!!!,0.0,0.0,0.0,0.0,0.0,0.0,Trump won!!!!,"[('Trump', 'PROPN'), ('win', 'VERB'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT')]","{'PROPN': 1, 'VERB': 1, 'PUNCT': 4}",trump win,PROPN VERB,1.0,Trump win,0,4,
58,ON POINT ERICK,0.0,0.0,0.0,0.0,0.0,0.0,ON POINT ERICK,"[('ON', 'PROPN'), ('POINT', 'PROPN'), ('ERICK', 'NOUN')]","{'PROPN': 2, 'NOUN': 1}",on point erick,PROPN PROPN NOUN,1.0,POINT ERICK,3,0,erick
